Obsdate		flux	flux_ler	BKG	BAND
 52829.515       4.94      4.51     16.78  2 
 52833.441      -3.84      4.94     16.64  1 
 52836.416      -1.05      3.99     16.55  2 
 52839.423       0.51      4.62     16.60  1 
 52843.317      -1.48      4.36     16.74  2 
 52846.458      -5.81      4.34     16.64  1 
 52849.635       1.22      4.31     16.13  2 
 52853.559       0.54      3.49     16.43  1 
 52857.721      -0.69      5.84     16.68  2 
 52861.844      -3.46      3.31     16.67  1 
 52865.609      -5.64      4.62     16.25  2 
 52868.548      -1.50      3.38     16.60  1 
 52871.590      -4.56      4.46     17.12  2 
 52874.398      -0.09      3.46     16.66  1 
 52879.411       2.09      5.59     16.41  2 
 52883.402      -2.17      4.74     16.90  1 
 52886.376      -2.03      4.36     17.34  2 
 52889.251      -1.19      3.47     16.54  1 
 52892.290      -0.62      6.25     16.52  2 
 52895.230      -4.99      3.27     16.51  1 
 52898.863      15.74      5.91     16.63  2 
 52901.344       1.67      3.58     16.25  1 
 52905.506      -3.95      4.37     16.75  2 
 52909.433      -6.62      3.22     16.38  1 
 52912.672       5.67      4.61     16.37  2 
 52916.530       1.66      3.44     16.88  1 
 52919.571      -0.97      5.94     16.50  2 
 52923.298       0.93      3.35     16.43  1 
 52927.259      -3.82      4.23     16.44  2 
 52930.131      -1.97      4.59     16.73  1 
 52934.156       0.84      5.71     16.36  2 
 52937.161      -0.86      3.63     16.75  1 
 52941.184      -6.33      4.22     16.68  2 
 52945.110      -1.52      3.36     16.64  1 
 53042.665      -1.37      4.38     16.79  2 
 53045.864      -2.94      3.40     17.02  1 
 53049.955      -1.57      4.18     16.54  2 
 53052.891       0.67      3.53     16.85  1 
 53056.525      -0.13      4.24     16.81  2 
 53059.263       2.74      4.80     16.89  1 
 53063.289       3.52      5.89     17.00  2 
 53067.013       1.80      3.50     16.73  1 
 53070.183      -4.79      5.93     17.46  2 
 53074.103       1.21      3.59     16.99  1 
 53077.075       9.90      4.58     17.05  2 
 53080.010       2.47      5.41     17.55  1 
 53083.836       8.10      5.59     16.71  2 
 53087.757      -2.81      5.09     17.25  1 
 53091.581       1.91      4.37     16.70  2 
 53095.567       0.27      3.55     16.70  1 
 53098.734       1.74      4.20     16.81  2 
 53102.329      -3.52      3.39     16.78  1 
 53106.879       7.42      4.50     16.32  2 
 53110.866      -3.68      3.40     16.48  1 
 53113.972       4.83      4.37     17.12  2 
 53116.907      -3.09      3.40     16.53  1 
 53120.077       2.97      5.98     16.56  2 
 53123.799       1.71      3.71     16.88  1 
 53127.753       4.87      5.61     16.82  2 
